"";"ASV0001";"ASV0003";"ASV0006";"ASV0008";"ASV0013";"ASV0016";"ASV0017";"ASV0021";"ASV0023";"ASV0025";"ASV0029";"ASV0030";"ASV0032";"ASV0034";"ASV0035";"ASV0036";"ASV0037";"ASV0038";"ASV0039";"ASV0040";"ASV0042";"ASV0043";"ASV0045";"ASV0048";"ASV0050";"ASV0052";"ASV0053";"ASV0056";"ASV0063";"ASV0064";"ASV0071";"ASV0072";"ASV0073";"ASV0077";"ASV0081";"ASV0083";"ASV0085";"ASV0086";"ASV0097";"ASV0101";"ASV0102";"ASV0104";"ASV0107";"ASV0118";"ASV0120";"ASV0127";"ASV0134";"ASV0135";"ASV0142";"ASV0143";"ASV0145";"ASV0147";"ASV0190";"ASV0206";"ASV0210";"ASV0223";"ASV0238";"ASV0261";"ASV0270";"ASV0273";"ASV0277";"ASV0279";"ASV0315";"ASV0325";"ASV0349";"ASV0382";"ASV0395";"ASV0403";"ASV0425";"ASV0442";"ASV0452";"ASV0456";"ASV0462";"ASV0501";"ASV0510";"ASV0561";"ASV0569";"ASV0631";"ASV0652";"ASV0676";"ASV0688";"ASV0711";"ASV0720";"ASV0775";"ASV0799";"ASV0834";"ASV0838";"ASV0867";"ASV0882";"ASV0932";"ASV1079";"ASV1112";"ASV1119";"ASV1191";"ASV1207";"ASV1272";"ASV1284";"ASV1335";"ASV1389";"ASV1403";"ASV1411";"ASV1412";"ASV1506";"ASV1593";"ASV1742";"ASV2590"
"F3A18";1363;1001;921;584;187;110;118;42;85;1731;29;0;132;37;69;47;1214;48;1116;116;0;86;0;1332;46;0;49;30;62;951;21;20;946;364;0;8;545;0;43;16;433;53;38;366;214;185;14;65;44;43;16;64;53;0;20;8;0;9;470;0;9;164;0;0;0;0;0;12;21;0;35;16;0;72;11;112;0;82;0;0;0;76;0;0;0;19;30;3;0;0;4;0;4;0;0;0;14;0;0;0;0;0;0;3;25;0
"F4A17";89;66;69;35;68;0;0;103;8;119;69;0;0;64;7;0;92;10;112;91;0;0;0;0;0;0;0;0;80;73;27;0;0;198;86;24;0;0;68;0;0;9;79;0;149;113;0;0;5;0;0;11;0;0;0;0;7;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;10;0;0;0;0;0;0;0;0
"F4F18";1312;1031;937;613;197;134;136;70;57;0;59;16;366;62;44;54;0;47;0;325;0;267;4;79;35;0;38;120;117;0;98;95;48;117;47;79;0;0;89;6;0;66;79;0;86;79;10;0;33;0;6;62;97;204;6;8;0;2;0;0;10;36;25;0;0;146;130;8;102;0;126;0;35;0;0;0;0;0;0;19;0;0;0;12;0;0;0;8;0;34;6;0;5;12;0;0;0;11;0;0;0;0;9;3;0;7
"F4A18";3502;2506;2419;1446;650;483;464;175;227;385;111;0;507;115;186;177;288;174;265;436;0;389;0;290;104;0;108;131;206;221;67;98;232;101;0;86;110;93;153;71;110;219;128;113;67;81;60;0;163;0;62;152;68;0;61;40;19;35;154;42;37;56;0;42;0;0;0;33;50;0;41;6;0;185;0;43;0;36;0;0;45;33;0;1;0;4;0;12;0;0;5;0;12;4;17;0;0;2;0;0;6;17;2;4;0;0
"H1A17";7624;5636;5335;3237;233;174;184;366;145;110;225;0;88;215;106;345;93;90;83;72;0;55;0;46;284;906;268;86;92;0;662;60;0;62;603;47;52;0;58;8;0;35;58;0;70;80;5;0;32;35;4;34;0;0;4;6;0;0;0;0;2;0;0;30;0;0;0;0;42;0;0;435;0;26;0;0;353;0;0;0;0;0;0;4;24;0;0;10;0;0;9;0;6;2;3;13;0;0;0;0;0;9;3;2;0;0
"H1F18";12030;9028;8284;5247;743;571;548;882;702;95;654;21;152;600;515;562;0;486;0;161;0;138;0;57;388;43;415;47;104;0;0;38;0;129;0;36;30;0;65;11;0;60;57;0;0;0;14;0;32;0;8;54;55;129;20;9;0;21;0;90;14;36;7;0;0;100;85;17;0;0;11;0;66;0;74;0;0;0;0;0;0;0;0;0;0;0;0;21;0;38;16;0;11;0;31;0;0;0;49;11;0;0;0;4;0;2
"H1A18";8971;6688;6298;4117;943;657;573;98;463;105;77;0;286;93;330;418;0;297;0;192;0;188;0;115;310;43;336;261;83;99;44;209;121;0;73;213;59;0;71;196;50;83;56;31;0;0;192;0;76;108;147;67;51;0;118;92;0;68;0;56;72;21;0;40;45;0;22;57;0;0;0;0;0;0;31;7;0;17;0;35;0;9;0;0;0;0;0;3;0;0;3;0;1;0;9;0;0;0;0;0;0;0;0;0;0;0
"H2A17";7427;5681;5496;3579;237;184;191;369;168;0;257;0;80;261;136;366;67;105;26;55;0;75;0;0;281;560;257;52;47;0;407;44;0;0;419;65;0;0;34;8;0;47;41;27;0;41;6;0;26;0;11;22;0;0;6;0;0;2;0;0;6;0;0;0;34;0;0;0;0;0;0;0;0;52;0;0;0;0;26;0;13;0;0;2;0;0;0;6;0;0;4;0;1;2;4;32;0;4;0;3;0;0;0;1;0;0
"H2F18";10028;7503;6882;4297;555;486;446;704;683;131;530;0;329;518;456;462;0;468;0;213;121;216;0;40;377;0;322;34;83;78;57;48;30;148;0;72;28;0;79;3;29;86;72;23;0;0;7;34;70;0;9;55;81;78;13;0;0;7;10;87;13;24;0;0;0;60;59;0;33;0;0;0;0;0;67;7;0;7;0;0;68;5;39;0;0;0;0;13;0;0;9;0;15;0;16;0;0;0;0;0;38;0;0;5;0;3
"H2A18";8323;6278;5894;3712;818;627;603;110;419;95;79;0;246;56;286;363;0;281;0;227;0;159;0;115;291;50;261;307;137;65;70;235;70;0;43;206;48;0;93;203;37;145;85;44;0;36;191;0;84;107;188;84;95;28;126;120;0;100;40;74;107;13;0;48;42;0;0;67;51;0;0;0;0;0;0;15;0;7;27;0;30;11;67;5;0;0;70;6;15;0;2;0;3;7;7;0;0;5;0;0;10;0;1;0;0;0
"H3A17";7350;5399;5037;3431;224;161;181;319;220;0;260;0;242;255;158;337;42;129;87;203;0;168;0;48;273;146;236;109;111;0;162;107;0;0;124;85;0;0;105;19;0;126;109;0;36;67;11;13;100;0;11;119;0;0;9;6;0;4;0;0;4;0;0;0;78;0;0;7;0;0;0;0;0;68;0;0;0;0;42;0;0;0;0;10;0;0;16;4;0;0;4;0;1;7;2;0;0;4;0;3;0;0;1;5;12;0
"H3F18";12913;10217;9241;6318;876;834;669;1298;1084;107;1049;0;240;881;861;506;69;905;0;202;0;193;0;59;406;39;356;35;101;75;0;69;50;107;0;30;27;231;82;10;51;163;54;27;78;73;12;171;109;0;7;107;41;58;22;0;0;24;0;87;19;9;0;30;33;57;55;0;0;73;0;0;0;0;64;0;0;0;66;0;57;0;19;0;0;0;44;6;0;0;6;0;6;0;24;0;0;0;0;0;45;7;0;4;0;0
"H3A18";7957;6022;5505;3488;633;435;480;82;352;0;75;0;325;57;254;350;82;226;26;231;0;263;17;153;262;0;229;184;90;127;91;184;109;63;35;159;85;21;64;136;68;107;70;53;0;0;117;0;71;82;77;85;107;47;53;77;0;73;36;40;46;20;0;0;0;0;0;53;0;0;0;0;0;0;48;11;0;14;59;0;0;15;0;4;0;0;0;0;0;0;0;0;0;5;18;0;0;1;0;6;0;24;2;0;0;0
"H4A17";6448;5005;4501;2971;182;136;95;378;250;115;300;0;221;297;213;287;0;204;0;166;0;200;0;0;209;170;214;252;144;0;161;195;0;48;167;147;0;0;128;30;68;159;107;0;83;48;27;0;130;0;17;117;0;0;12;20;0;13;30;24;11;0;0;0;50;0;0;5;59;0;0;0;0;0;0;0;0;0;0;13;0;0;30;4;0;0;0;7;0;0;6;0;5;2;4;0;0;6;0;3;0;0;2;6;0;0
"H4F18";12143;8777;8460;5285;776;552;553;1174;965;0;945;0;189;859;674;549;48;602;137;148;0;127;0;54;400;42;377;40;51;51;0;30;28;97;0;32;36;214;44;13;29;120;38;25;123;70;10;122;75;0;6;73;66;0;33;8;0;17;0;89;20;39;0;0;0;68;23;22;0;63;0;0;0;0;101;0;0;0;44;0;0;0;0;0;0;0;82;15;0;0;8;26;6;0;40;0;0;0;0;15;0;7;0;5;5;0
