Sample;Site;Input_reads;After_filtering;denoisedF;denoisedR;Merged;Chimera_removal;ASV;ASV_abundance;Euks_ASV_abundance;Chao1;Chao1_std_error;ACE;ACE_std_error;Shannon_index;Simpson_index;Invsimpson;Unbiased_Simpson;ASV_PPE;ASV_PPE_abundance;PPE_Chao1;PPE_Chao1_std_error;PPE_ACE;PPE_ACE_std_error;PPE_Shannon_index;PPE_Simpson_index;PPE_Invsimpson;PPE_unbiased_Simpson;ASV_Core;ASV_Core_Abundance;Core_Chao1;Core_Chao1_std_error;Core_ACE;Core_ACE_std_error;Core_Shannon_index;Core_Simpson_index;Core_Invsimpson;Core_unbiased_Simpson
P2F18;Pta_Choros;71283;62109;61623;61329;58703;53084;528;52905;52825;535.5;5.080331772;533.6468407;9.967405829;4.871571598;0.977002019;43.48207743;0.977020514;170;31049;172;2.58559291;171.9512286;5.299331457;3.631698532;0.939842188;16.62294506;0.939872459;74;27931;74;0;74;1.394971665;3.249159309;0.92617526;13.54559457;0.92620842
P3F18;Pta_Choros;85319;70485;70080;69741;66833;58628;440;58452;58379;450;6.657952638;445.3263701;9.04406168;4.583613742;0.97400944;38.47550765;0.974026124;145;37141;148.75;4.208482487;147.6057275;4.940612025;3.390721226;0.939836988;16.62150812;0.939862293;75;25275;75;0;75;2.814249456;3.138942408;0.923208733;13.02231415;0.923245261
P4F18;Pta_Choros;91750;73002;72044;71869;68518;60566;469;60338;60171;471.625;2.828164239;470.5751508;8.65137437;4.749847402;0.976966772;43.41553819;0.976983009;138;31241;138;0.498185112;138.1509434;4.421057869;3.415581465;0.929066025;14.0976169;0.929095765;72;28707;72;0;72;1.943650632;3.109883534;0.916586777;11.98850694;0.916618707
Q1A17;Quintero;75250;63786;63140;62984;59546;51431;490;51148;50906;495.5714286;4.241730592;494.2598129;9.286695284;4.269283649;0.953673913;21.58610963;0.953692647;106;4047;107;1.81633296;107.2998427;3.670566528;4.303504712;0.983121537;59.24709972;0.983364523;22;1083;22;0.244252105;22.70122017;1.890179216;2.67865399;0.916055995;11.91270301;0.916902627
Q1F18;Quintero;90121;74928;74590;74531;69949;63743;129;63602;63488;129.4285714;0.912758812;129.9638234;4.854829135;3.013548272;0.912858056;11.47553008;0.912872435;30;1267;30.2;0.620074766;30.75862069;2.507973045;2.842762806;0.929193435;14.12298421;0.929927395;13;737;13;0.480384461;13.62109375;1.354895273;2.15484419;0.864106751;7.358717299;0.865280809
Q2A17;Quintero;67839;57813;57120;56515;52047;45728;630;45385;44772;635.5;4.510886386;632.7934175;9.910992624;5.605327708;0.993377687;151.0046439;0.993399875;159;9649;159;0.099685039;159.192844;5.033873934;4.252185965;0.973473576;37.69825869;0.973574475;46;3707;46;0.494535355;46.15960679;2.509063935;3.041906578;0.919243837;12.38295581;0.919491879
Q2F18;Quintero;95679;80596;80240;80096;78367;75951;294;75585;74922;299;6.042803011;295.3936984;5.835182089;3.012114199;0.872474809;7.841587925;0.872486454;88;7449;91;4.639770741;89.41005362;3.271122023;3.44984666;0.933163753;14.96194126;0.933289044;39;5600;39;0;39;0.987096234;2.730984563;0.886685906;8.825027508;0.886844271
Q3A17;Quintero;76328;59239;58524;57987;53173;46671;586;46407;45678;589;2.863994029;588.2677908;9.641852725;5.554497651;0.993390066;151.2874301;0.993411814;142;8378;142;0.124559082;142.2163414;4.443331216;4.28895874;0.977099476;43.66712372;0.977216117;34;2992;34;0;34;1.653872461;3.037098986;0.933124249;14.95310318;0.933436227
Q3F18;Quintero;98357;82563;82105;81429;79258;76059;361;75690;75139;363.1;2.335280781;362.7341888;7.579979801;3.270907127;0.898143846;9.817767123;0.898155799;123;11783;123;0.099592666;123.2038874;4.368707477;3.646986766;0.947059801;18.88923765;0.947140183;57;9340;57;0;57;2.622440272;2.981768756;0.917844504;12.17204018;0.917942785
Q3A18;Quintero;85076;72792;72306;71926;68483;59504;600;59180;58951;613;9.260236996;604.8015288;8.777860062;5.36412525;0.988686514;88.39008225;0.988703285;216;25736;217;2.341274614;216.351122;6.023388505;3.994399934;0.956113088;22.78583626;0.95615024;75;18993;75;0;75;3.174901573;3.199109396;0.924878383;13.31174757;0.924927082
Q4A17;Quintero;74855;61440;60506;60281;55570;48593;603;48248;47701;608.2;3.988642167;607.000156;10.14755112;5.416889741;0.991549236;118.3324965;0.991570023;153;7033;154.4285714;1.93461992;155.0500793;5.266245062;4.29147424;0.976573339;42.68640826;0.976712215;40;2661;40;0.246855221;40.4377037;2.362124343;3.014181788;0.923986583;13.15557228;0.924333946
Q4F18;Quintero;85955;71555;71330;70104;68224;66372;228;66143;65790;228.4285714;0.912898035;228.7737138;6.057014576;2.738398768;0.851387203;6.728895616;0.851400144;67;3296;67;0;67;3.412006894;3.720017593;0.967930568;31.18234163;0.968224325;26;2019;26;0;26;1.358732441;2.941306593;0.935613406;15.53118344;0.93607704
Q4A18;Quintero;78771;67314;66989;66725;64628;57440;5000;57233;56708;507;5.057137093;506.9213475;7.867839975;4.811596892;0.970090159;33.43381157;0.970107266;166;33843;167;1.81697474;167.1718847;4.399616721;3.356318616;0.919390192;12.40543826;0.919417359;59;27712;59;0.495744603;59.42316304;2.455386844;2.685576932;0.88244701;8.506801897;0.882478854
L1A17;Las_Cruces;87689;71058;70137;69828;65463;59554;433;59145;59048;433.4615385;0.875512477;434.019901;8.405858518;4.107145242;0.955865905;22.65821921;0.955882093;68;119279;68;0.496309913;68.16240638;3.468023465;2.645911142;0.873374523;7.897304927;0.873419828;41;18224;41;0;41;2.650356626;2.409487765;0.858537613;7.069016883;0.858584726
L1F18;Las_Cruces;80355;67241;66408;66098;61914;53882;395;53577;53241;396.1111111;1.575638702;396.4432647;8.077889495;4.415210985;0.974020899;38.49247939;0.974039194;80;4441;80.33333333;0.924968;80.65388077;4.013767575;3.559047864;0.955580791;22.51278284;0.955796012;33;3359;33;0;33;1.874873733;2.921635561;0.928246607;13.93662308;0.928523035
L1A18;Las_Cruces;87850;66727;66577;66134;63097;54638;343;54499;54190;344.6666667;2.205350301;344.5750208;5.842974734;4.619517898;0.976679895;42.8814527;0.976697918;101;32230;101.5;1.296903284;101.9903978;2.555217651;3.337417878;0.94012483;16.70141395;0.940154;45;19877;45;0.247206616;45.75462963;1.827273479;2.646339989;0.890189122;9.106565929;0.890233909
L2A17;Las_Cruces;85987;71335;70444;70059;65695;55287;454;54937;54905;455.6153846;1.884232578;456.2628827;8.093953114;4.756393755;0.980117815;50.29628386;0.980135667;78;20026;78;0;78;3.073876697;3.136630894;0.917009481;12.04956912;0.917055274;37;15381;37;0;37;1.888800563;2.489002593;0.866126161;7.469719311;0.866182476
L2F18;Las_Cruces;102789;83448;82847;82297;78064;71828;710;71222;70736;711.9090909;2.157353718;711.5137602;9.841742434;5.058255948;0.981292038;53.45317691;0.981305911;163;28130;163;0.083077316;163.2796399;5.058804743;3.434399701;0.937550498;16.01293788;0.93758386;72;21667;72;0;72;3.052776514;2.881533505;0.90691701;10.74310142;0.906958869
L2A18;Las_Cruces;71969;62391;62238;61696;59815;51913;362;51850;51545;363;1.449883628;363.8881544;6.572308248;4.654050623;0.971402807;34.96846703;0.971421653;111;26808;111;0;111;3.794258346;3.041680936;0.903007647;10.31009117;0.903041333;40;24064;40;0;40;2.091650066;2.567492538;0.879916535;8.327541194;0.879953102
L3A17;Las_Cruces;71059;62342;61605;61488;57436;49481;395;49194;49102;401;5.390256287;397.3066925;8.586554231;4.576407264;0.975256083;40.4139735;0.975275945;88;21777;88;0.497150974;88.20378525;3.904990168;2.92334027;0.904020511;10.4188927;0.904062025;41;18267;41;0;41;2.537523279;2.452129146;0.868585019;7.609482529;0.868632571
L3F18;Las_Cruces;86552;71131;69773;69222;64496;55857;458;55221;54650;460.625;2.828158991;459.8856786;8.578951809;4.56852392;0.970961044;34.43650026;0.970978812;89;8760;92.33333333;4.124502533;91.18737603;4.389091012;2.91978227;0.890841283;9.160972416;0.890942988;57;8251;60;4.627364261;58.56348619;2.94460646;2.680308678;0.877215075;8.144322308;0.877321405
L3A18;Las_Cruces;92612;75764;75590;75185;73280;63630;362;63564;63444;362.9090909;1.346812701;364.3901178;5.90688484;4.659464979;0.972806595;36.7736225;0.972821929;134;36998;135.5;2.594878578;136.3752319;3.044617253;3.437319441;0.928832625;14.05138238;0.928857731;50;28712;50;0.247487373;50.69277554;2.162337267;2.666531597;0.886150872;8.783554311;0.886181736
L4A17;Las_Cruces;88523;73261;72207;72191;67899;59558;331;59113;58989;332.875;2.257065227;332.5207126;7.795770429;4.037249359;0.964145444;27.89045868;0.964161789;64;20364;64;0.248039185;64.18141813;3.733273132;2.489127827;0.863692571;7.336357281;0.863734986;37;19642;37;0;37;2.78023915;2.315196839;0.853579019;6.829622302;0.853622478
L4F18;Las_Cruces;89800;72072;71337;70929;66550;60194;625;59431;59201;628.6666667;3.145252904;628.4935144;9.704428583;4.93783975;0.976691574;42.9029393;0.976708072;130;21263;130.75;1.422998179;130.8831367;4.924130856;2.960866399;0.887476686;8.887047199;0.887518426;68;19881;68.33333333;0.924734554;68.81034422;3.314327216;2.644594784;0.871422598;7.777416462;0.871466433
L4A18;Las_Cruces;81415;70277;69724;69485;66410;57186;418;56868;56787;422.5;4.107554557;420.467672;8.449778432;4.336429812;0.962815109;26.89264334;0.962832065;126;30712;126;0.24900596;126.15;4.757040458;2.855002393;0.887347317;8.876841391;0.88737621;49;28504;49;0;49;2.294625486;2.495029082;0.869383425;7.655996165;0.869413926
