"";"Site";"ASV";"Node_Category";"Eigen_Centrality";"Degree_Centrality";"Betweenness_Centrality";"Membership"
"1495";"Huasco";"ASV2993";"Other";0,000481104926355404;33;7231,02451172917;5
"1496";"Huasco";"ASV2994";"Other";0,000612829450034086;14;3493,86230534978;3
"1497";"Huasco";"ASV2997";"Other";0,054349896132561;78;2312,94994257938;4
"1498";"Huasco";"ASV2998";"Other";0,325504144374167;43;9747,51448924532;1
"1499";"Huasco";"ASV2999";"Other";8,51199781973321e-05;6;2162,14285714286;5
"1500";"Huasco";"ASV3000";"Unique";0,000427971604385196;21;4074,64277252182;3
"1501";"Huasco";"ASV3002";"Other";0,00833368815396716;7;375,751544509599;2
"1502";"Huasco";"ASV3003";"Unique";0,0416013230552527;44;3569,04109666481;4
"1503";"Huasco";"ASV3019";"Other";0,019854909831412;23;18652,1883197979;1
"1504";"Huasco";"ASV3020";"Other";0,00518805288361934;24;161,758287656085;1
"1505";"Huasco";"ASV3021";"Other";3,63958032668076e-05;4;461,724512144009;5
"1506";"Huasco";"ASV3023";"Other";0,327839036698018;36;2842,98209379444;1
"1507";"Huasco";"ASV3024";"Other";0,000870426979867467;15;266,35582887292;5
"1508";"Huasco";"ASV3026";"Other";8,53950952116426e-06;17;3456,98037940611;3
"1509";"Huasco";"ASV3027";"Unique";0,00114160853181285;22;1314,16736668352;5
"1510";"Huasco";"ASV3029";"Other";0,192031508583147;24;16559,259689101;2
"1511";"Huasco";"ASV3030";"Other";0,0196649418706555;10;1550,29307613668;4
"1512";"Huasco";"ASV3031";"Other";0,00976444890254513;4;132,368385331117;4
"1513";"Huasco";"ASV3032";"Other";0,315544788444949;50;3483,90721052192;2
"1514";"Huasco";"ASV3033";"Unique";0,00459620934676956;23;2677,39417525055;5
"1515";"Huasco";"ASV3034";"Unique";0,257059745468376;46;2078,81760085844;1
"1516";"Huasco";"ASV3035";"Unique";0,0555239272558976;40;1406,43101304007;4
"1517";"Huasco";"ASV3045";"Other";0,012655467568292;6;509,48552164474;2
"1518";"Huasco";"ASV3046";"Other";0,098245250290142;62;12567,5159772287;1
"1519";"Huasco";"ASV3047";"Other";0,00303003983905278;8;3819,64501573297;1
"1520";"Huasco";"ASV3050";"Other";0,0209611313132143;8;2413,12526560725;18
"1521";"Huasco";"ASV3052";"Other";0,033214419052845;14;6333,22250553024;2
"1522";"Huasco";"ASV3053";"Other";2,43317329060551e-08;2;71,0052015882716;3
"1523";"Huasco";"ASV3071";"Other";0,00438976438290404;2;0,0232558139534884;2
"1524";"Huasco";"ASV3074";"Other";8,21417117289642e-06;4;970,482702528353;1
"1525";"Huasco";"ASV3077";"Other";0,192121378904181;21;1190,3922598298;1
"1526";"Huasco";"ASV3080";"Other";0,939659978392899;123;35005,7489087833;1
"1527";"Huasco";"ASV3082";"Other";0,192339584622974;55;4394,74221130282;2
"1528";"Huasco";"ASV3084";"Unique";0,0416013230552527;44;3569,04109666481;4
"1529";"Huasco";"ASV3085";"Unique";0,257059745468376;46;2078,81760085844;1
"1530";"Huasco";"ASV3101";"Other";8,20112131989558e-06;3;0;1
"1531";"Huasco";"ASV3105";"Other";0,000953469527778097;15;8742,58391069832;3
"1532";"Huasco";"ASV3106";"Other";0,01164192258237;7;1113,21415744107;2
"1533";"Huasco";"ASV3108";"Other";0,0248618656746072;8;532,978877126497;2
"1534";"Huasco";"ASV3117";"Other";0,000256354487758724;9;11960,9262691535;5
"1535";"Huasco";"ASV3118";"Unique";0,000427971604385202;21;4074,64277252182;3
"1536";"Huasco";"ASV3119";"Unique";0,000102965405856893;34;9645,10401900618;3
"1537";"Huasco";"ASV3120";"Unique";0,355989696217885;38;11742,5486787265;1
"1538";"Huasco";"ASV3121";"Unique";0,0547330875017684;16;5102,43148063263;4
"1539";"Huasco";"ASV3122";"Unique";0,916245295230599;113;13842,7118162525;1
"1540";"Huasco";"ASV3123";"Other";0,0104241429412767;7;1142,88948928198;14
"1541";"Huasco";"ASV3124";"Unique";1,40503266299477e-05;13;472,908184056553;3
"1542";"Huasco";"ASV3125";"Unique";0,257059745468376;46;2078,81760085844;1
"1543";"Huasco";"ASV3126";"Unique";0,0555239272558976;40;1406,43101304007;4
"1544";"Huasco";"ASV3144";"Other";0,0010869394322569;7;0,0333333333333333;1
"1545";"Huasco";"ASV3149";"Other";0,01040908839469;18;40264,8055409469;3
"1546";"Huasco";"ASV3150";"Other";0,000125248830067491;1;0;1
"1547";"Huasco";"ASV3154";"Unique";0,927025027450145;113;8799,68634659582;1
"1548";"Huasco";"ASV3155";"Unique";1,40503266299541e-05;13;472,908184056553;3
"1549";"Huasco";"ASV3174";"Other";0,000169942202428278;8;82,2608132105252;3
"1550";"Huasco";"ASV3175";"Other";0,205283489251556;35;1284,30750535167;1
"1551";"Huasco";"ASV3176";"Other";7,11701948893684e-06;10;705,114912243776;3
"1552";"Huasco";"ASV3181";"Other";0,334301757172601;59;4290,99254776633;2
"1553";"Huasco";"ASV3182";"Other";9,58129405013051e-05;7;12503,8354547623;3
"1554";"Huasco";"ASV3183";"Unique";0,00114160853181288;22;1314,16736668352;5
"1555";"Huasco";"ASV3184";"Other";0,000380659319720039;12;474,612568863874;5
"1556";"Huasco";"ASV3185";"Other";2,65414120245517e-09;1;0;3
"1557";"Huasco";"ASV3187";"Other";0,16080399835504;40;11993,9283285104;2
"1558";"Huasco";"ASV3188";"Other";0,0222940013188677;36;1420,69611611725;4
"1559";"Huasco";"ASV3189";"Other";0,00141735620849441;3;546,327437139935;1
"1560";"Huasco";"ASV3206";"Other";0,000159460037161281;1;0;2
"1561";"Huasco";"ASV3208";"Other";0,00021261038663019;8;8654,49431021722;3
"1562";"Huasco";"ASV3210";"Other";0,000378827224144175;6;2962,85392196116;1
"1563";"Huasco";"ASV3216";"Other";8,29816931460615e-14;1;0;21
"1564";"Huasco";"ASV3218";"Other";0,258848263766631;52;24323,4578481002;2
"1565";"Huasco";"ASV3221";"Other";0,000120980931631648;3;2163,52995109109;7
"1566";"Huasco";"ASV3222";"Unique";0,476346271475901;60;2132,94205587071;2
"1567";"Huasco";"ASV3223";"Other";0,0141777379081455;4;1760,16375079672;2
"1568";"Huasco";"ASV3224";"Other";0,0983774704043731;32;3967,1319044715;1
"1569";"Huasco";"ASV3225";"Other";0,0114198845972989;19;3587,66385118087;2
"1570";"Huasco";"ASV3244";"Other";0,000109944837827272;1;0;7
"1571";"Huasco";"ASV3251";"Other";0,000103202499731148;1;0;10
"1572";"Huasco";"ASV3253";"Other";0,000898335208530558;13;7247,9497354847;3
"1573";"Huasco";"ASV3255";"Other";8,09375345292407e-08;2;0;3
"1574";"Huasco";"ASV3257";"Other";0,0128886780071181;26;8160,46844352557;2
"1575";"Huasco";"ASV3260";"Other";0,0159691758151486;31;5234,10795897445;4
"1576";"Huasco";"ASV3261";"Other";0,000463211931856646;32;1218,72777684455;5
"1577";"Huasco";"ASV3262";"Other";0,000462785177504209;30;19,7727272727273;5
"1578";"Huasco";"ASV3263";"Unique";0,000427971604385205;21;4074,64277252182;3
"1579";"Huasco";"ASV3264";"Other";0,0223996836409631;36;6027,78589069469;4
"1580";"Huasco";"ASV3265";"Other";0,0157400516862747;28;8,59090909090909;4
"1581";"Huasco";"ASV3266";"Other";0,0226840007136073;36;1325,06866642716;4
"1582";"Huasco";"ASV3267";"Other";0,000394856947279605;10;2085,53108165065;4
"1583";"Huasco";"ASV3295";"Other";0,00901132364775961;2;0,421738146065179;2
"1584";"Huasco";"ASV3298";"Other";0,000265855116652855;14;683,165891727362;3
"1585";"Huasco";"ASV3304";"Other";0,169598931823482;44;686,07940032902;2
"1586";"Huasco";"ASV3306";"Other";0,0114420811954555;4;223,930769429529;4
"1587";"Huasco";"ASV3307";"Other";5,77595900723677e-06;5;0;3
"1588";"Huasco";"ASV3310";"Other";0,00248205837888006;21;6273,49713918051;3
"1589";"Huasco";"ASV3311";"Other";0,00770737929755176;5;142,249968606446;2
"1590";"Huasco";"ASV3312";"Other";0,00793277496857448;8;221,368135755882;3
"1591";"Huasco";"ASV3313";"Other";0,0282662482775152;10;3839,76004678754;1
"1592";"Huasco";"ASV3314";"Other";6,21730117085691e-06;14;1043,24614001681;3
"1593";"Huasco";"ASV3316";"Other";0,00383589092868787;27;12658,5072841917;3
"1594";"Huasco";"ASV3320";"Unique";0,0165820222014298;48;36474,6842947082;4
"1595";"Huasco";"ASV3321";"Other";0,31539865009496;49;19,6;2
"1596";"Huasco";"ASV3322";"Other";1,32270617861922e-05;4;4819,8733384186;3
"1597";"Huasco";"ASV3323";"Other";0,161529620816394;43;1103,07824494482;2
"1598";"Huasco";"ASV3324";"Unique";0,0915576379705311;141;8570,2188264789;4
"1599";"Huasco";"ASV3338";"Other";0,000433763674473819;2;0;2
"1600";"Huasco";"ASV3339";"Other";0,0372024974070682;12;1617,96459516261;1
"1601";"Huasco";"ASV3344";"Other";0,00602175412692824;5;1309,53356085464;1
"1602";"Huasco";"ASV3349";"Other";5,77821465173128e-06;6;2384,4165477443;3
"1603";"Huasco";"ASV3351";"Other";0,0127052922509735;6;312,574981162394;2
"1604";"Huasco";"ASV3354";"Other";0,119140166149213;35;3884,81835307855;1
"1605";"Huasco";"ASV3355";"Unique";0,951222279364507;143;9612,33166556239;2
"1606";"Huasco";"ASV3356";"Other";0,164463308342847;18;1099,32691016457;2
"1607";"Huasco";"ASV3357";"Other";0,000875176620427718;16;1335,56044143132;5
"1608";"Huasco";"ASV3358";"Unique";0,305078342171082;50;2151,03725110006;2
"1609";"Huasco";"ASV3359";"Unique";0,0829409200897739;133;8569,82656924005;4
"1610";"Huasco";"ASV3383";"Other";0,409670188262932;54;4680,32003738649;1
"1611";"Huasco";"ASV3384";"Other";0,00801210465574065;8;2402,65033366521;3
"1612";"Huasco";"ASV3386";"Other";0,00378811151642977;21;14039,2957684806;4
"1613";"Huasco";"ASV3387";"Unique";0,00114160853181285;22;1314,16736668352;5
"1614";"Huasco";"ASV3388";"Other";0,000741515402606063;3;4323;45
"1615";"Huasco";"ASV3389";"Other";1,14419381501365e-06;6;41,7254564774673;3
"1616";"Huasco";"ASV3390";"Unique";0,364612982169037;90;14268,5427495786;2
"1617";"Huasco";"ASV3391";"Other";0,0220006771502978;35;1420,66754468867;4
"1618";"Huasco";"ASV3392";"Other";0,0220006771502978;35;1420,66754468867;4
"1619";"Huasco";"ASV3393";"Unique";0,257059745468376;46;2078,81760085844;1
"1620";"Huasco";"ASV3412";"Other";4,21794583781283e-07;1;0;3
"1621";"Huasco";"ASV3426";"Other";0,000380659319720041;12;474,612568863874;5
"1622";"Huasco";"ASV3427";"Other";0,000138049641853776;27;4562,13835255654;3
"1623";"Huasco";"ASV3428";"Unique";0,951222279364507;143;9612,33166556239;2
"1624";"Huasco";"ASV3429";"Unique";0,00459620934676955;23;2677,39417525055;5
"1625";"Huasco";"ASV3430";"Unique";0,305078342171082;50;2151,03725110006;2
"1626";"Huasco";"ASV3431";"Unique";0,0416013230552527;44;3569,04109666481;4
"1627";"Huasco";"ASV3432";"Unique";0,000209477691868644;42;22135,9872436137;3
