"";"Site";"ASV";"Node_Category";"Eigen_Centrality";"Degree_Centrality";"Betweenness_Centrality";"Membership"
"1454";"Las_Cruces";"ASV3237";"Unique";0,892031683809258;221;10569,0612770338;6
"1455";"Las_Cruces";"ASV3238";"Unique";0,000179082318323215;20;717,753392269219;3
"1456";"Las_Cruces";"ASV3239";"Unique";0,000179082318323221;20;717,753392269219;3
"1457";"Las_Cruces";"ASV3240";"Unique";0,272036163422164;39;893,527300684695;6
"1458";"Las_Cruces";"ASV3241";"Unique";0,000301612336691507;26;1319,16731912982;3
"1459";"Las_Cruces";"ASV3242";"Unique";0,337110490851427;52;1640,50098825523;6
"1460";"Las_Cruces";"ASV3255";"Other";0,000211878053671016;2;9206,97705850538;1
"1461";"Las_Cruces";"ASV3259";"Other";0,0125109006909407;49;34,5882352941176;2
"1462";"Las_Cruces";"ASV3261";"Other";0,0525243373229405;63;757,639279109608;8
"1463";"Las_Cruces";"ASV3266";"Other";0,000461027749347674;22;5919,04494662018;2
"1464";"Las_Cruces";"ASV3267";"Other";0,0109721632437272;27;804,63437418587;2
"1465";"Las_Cruces";"ASV3280";"Unique";0,0110829208157141;24;1073,91178573954;2
"1466";"Las_Cruces";"ASV3281";"Unique";0,0763966732227202;26;1146,6467849922;8
"1467";"Las_Cruces";"ASV3282";"Unique";0,0763966732227202;26;1146,6467849922;8
"1468";"Las_Cruces";"ASV3283";"Unique";0,559055897831518;212;30373,4652122692;1
"1469";"Las_Cruces";"ASV3284";"Unique";0,248618131426218;50;6544,13026482242;2
"1470";"Las_Cruces";"ASV3285";"Unique";0,000314512849702489;19;665,134452245333;3
"1471";"Las_Cruces";"ASV3286";"Unique";0,000314512849702501;19;665,134452245333;3
"1472";"Las_Cruces";"ASV3287";"Unique";0,000314512849702497;19;665,134452245333;3
"1473";"Las_Cruces";"ASV3288";"Unique";0,829215625555406;110;2772,0316420453;6
"1474";"Las_Cruces";"ASV3289";"Unique";0,000179082318323228;20;717,753392269219;3
"1475";"Las_Cruces";"ASV3290";"Unique";0,272036163422164;39;893,527300684695;6
"1476";"Las_Cruces";"ASV3291";"Unique";0,0003016123366915;26;1319,16731912982;3
"1477";"Las_Cruces";"ASV3292";"Unique";0,000301612336691487;26;1319,16731912982;3
"1478";"Las_Cruces";"ASV3293";"Unique";0,337110490851427;52;1640,50098825523;6
"1479";"Las_Cruces";"ASV3294";"Other";0,00620422726514358;50;51,0416666666668;2
"1480";"Las_Cruces";"ASV3297";"Other";3,49098649517949e-18;3;0;20
"1481";"Las_Cruces";"ASV3300";"Other";6,31563897652587e-18;3;0;20
"1482";"Las_Cruces";"ASV3302";"Other";7,00339398398403e-05;8;3271,84381534248;5
"1483";"Las_Cruces";"ASV3305";"Other";2,08421313077775e-18;1;0;66
"1484";"Las_Cruces";"ASV3314";"Other";0,00219794691257906;13;5729,54014241129;3
"1485";"Las_Cruces";"ASV3319";"Other";0,000744694145042269;3;0;5
"1486";"Las_Cruces";"ASV3322";"Other";0,013088858744799;9;4886,22036244291;6
"1487";"Las_Cruces";"ASV3330";"Other";0,00213310964387961;39;6845,63166133121;3
"1488";"Las_Cruces";"ASV3331";"Unique";0,000314512849702487;19;665,134452245333;3
"1489";"Las_Cruces";"ASV3332";"Unique";0,000314512849702484;19;665,134452245333;3
"1490";"Las_Cruces";"ASV3333";"Unique";0,000179082318323236;20;717,753392269219;3
"1491";"Las_Cruces";"ASV3334";"Unique";0,000301612336691496;26;1319,16731912982;3
"1492";"Las_Cruces";"ASV3335";"Unique";0,337110490851427;52;1640,50098825523;6
"1493";"Las_Cruces";"ASV3336";"Unique";0,00520050757972937;32;6422,97220922388;3
"1494";"Las_Cruces";"ASV3337";"Other";7,87607696268269e-07;5;3195;18
"1495";"Las_Cruces";"ASV3348";"Other";0,292169636954131;114;1265,58591551788;1
"1496";"Las_Cruces";"ASV3351";"Other";0,00176945816449094;1;0;6
"1497";"Las_Cruces";"ASV3356";"Other";3,55551386033255e-06;6;35972,0545454545;3
"1498";"Las_Cruces";"ASV3357";"Other";0,000306091218653881;20;6956,29853784783;2
"1499";"Las_Cruces";"ASV3368";"Other";0,0547338495395207;64;2129,40227123986;8
"1500";"Las_Cruces";"ASV3371";"Unique";0,0110829208157141;24;1073,91178573954;2
"1501";"Las_Cruces";"ASV3372";"Unique";0,000314512849702494;19;665,134452245333;3
"1502";"Las_Cruces";"ASV3374";"Unique";0,230907217712573;40;1743,58077009213;1
"1503";"Las_Cruces";"ASV3375";"Unique";0,272036163422164;39;893,527300684695;6
"1504";"Las_Cruces";"ASV3376";"Unique";0,272036163422164;39;893,527300684695;6
"1505";"Las_Cruces";"ASV3377";"Unique";0,272036163422164;39;893,527300684695;6
"1506";"Las_Cruces";"ASV3378";"Other";5,10162841190127e-18;3;0;20
"1507";"Las_Cruces";"ASV3381";"Other";0,295551937812947;115;2032,82309398031;1
"1508";"Las_Cruces";"ASV3388";"Other";2,19037358197178e-05;3;2132;3
"1509";"Las_Cruces";"ASV3389";"Other";0,00199686859159061;2;0;3
"1510";"Las_Cruces";"ASV3391";"Other";0,000377275989878519;18;1110,51318947497;2
"1511";"Las_Cruces";"ASV3392";"Other";0,000377275989878532;18;1110,51318947497;2
"1512";"Las_Cruces";"ASV3403";"Unique";0,0914660326623287;120;16397,3090935059;2
"1513";"Las_Cruces";"ASV3404";"Unique";0,000314512849702474;19;665,134452245333;3
"1514";"Las_Cruces";"ASV3405";"Unique";0,022804945225791;34;3935,98005713981;2
"1515";"Las_Cruces";"ASV3406";"Unique";0,000179082318323235;20;717,753392269219;3
"1516";"Las_Cruces";"ASV3407";"Unique";0,00104566311825467;15;1173,23259282395;2
"1517";"Las_Cruces";"ASV3408";"Unique";0,272036163422164;39;893,527300684695;6
"1518";"Las_Cruces";"ASV3410";"Other";2,16576603003327e-07;1;0;3
"1519";"Las_Cruces";"ASV3412";"Other";2,33367221026967e-05;2;2694,66269824324;5
"1520";"Las_Cruces";"ASV3418";"Other";0,0521902924449186;62;912,590613853725;8
"1521";"Las_Cruces";"ASV3426";"Other";3,94312075981041e-08;2;683,222314514293;13
"1522";"Las_Cruces";"ASV3427";"Other";0,265374424138169;74;1806,00571868714;6
"1523";"Las_Cruces";"ASV3439";"Other";4,81083978094658e-05;14;7801,97585541806;4
"1524";"Las_Cruces";"ASV3443";"Unique";0,000314512849702492;19;665,134452245333;3
"1525";"Las_Cruces";"ASV3444";"Unique";0,892031683809258;221;10569,0612770338;6
"1526";"Las_Cruces";"ASV3445";"Unique";0,000179082318323225;20;717,753392269219;3
"1527";"Las_Cruces";"ASV3446";"Unique";0,272036163422164;39;893,527300684695;6
"1528";"Las_Cruces";"ASV3447";"Unique";0,928802091988086;192;9213,60513241652;6
"1529";"Las_Cruces";"ASV3448";"Unique";0,928802091988087;192;9213,60513241652;6
"1530";"Las_Cruces";"ASV3449";"Unique";0,337110490851427;52;1640,50098825523;6
"1531";"Las_Cruces";"ASV3450";"Unique";0,00520050757972937;32;6422,97220922388;3
"1532";"Las_Cruces";"ASV3451";"Unique";0,00520050757972935;32;6422,97220922388;3
"1533";"Las_Cruces";"ASV3462";"Other";0,0052027541377991;3;0;6
"1534";"Las_Cruces";"ASV3469";"Other";0,00135042113954466;3;35,0780637160121;8
"1535";"Las_Cruces";"ASV3479";"Unique";0,011082920815714;24;1073,91178573954;2
"1536";"Las_Cruces";"ASV3480";"Unique";0,0763966732227202;26;1146,6467849922;8
"1537";"Las_Cruces";"ASV3481";"Unique";0,548123896934288;156;12459,2197423432;6
"1538";"Las_Cruces";"ASV3482";"Unique";0,000314512849702493;19;665,134452245333;3
"1539";"Las_Cruces";"ASV3483";"Unique";0,000314512849702498;19;665,134452245333;3
"1540";"Las_Cruces";"ASV3484";"Unique";0,000314512849702491;19;665,134452245333;3
"1541";"Las_Cruces";"ASV3485";"Unique";0,00030161233669149;26;1319,16731912982;3
"1542";"Las_Cruces";"ASV3486";"Unique";0,000301612336691526;26;1319,16731912982;3
"1543";"Las_Cruces";"ASV3498";"Other";0,00469254531833242;1;0;6
"1544";"Las_Cruces";"ASV3502";"Other";0,000452224719047028;16;2637,92155852014;2
"1545";"Las_Cruces";"ASV3504";"Other";3,59897400917769e-05;2;0;32
"1546";"Las_Cruces";"ASV3510";"Other";0,176957356925996;37;15110,1817989045;6
"1547";"Las_Cruces";"ASV3511";"Other";0,009282894737238;12;34071,4323915787;3
"1548";"Las_Cruces";"ASV3517";"Unique";0,0242839753944453;130;12840,4246675383;2
"1549";"Las_Cruces";"ASV3518";"Unique";0,000314512849702484;19;665,134452245333;3
"1550";"Las_Cruces";"ASV3519";"Unique";0,000314512849702488;19;665,134452245333;3
"1551";"Las_Cruces";"ASV3520";"Unique";0,000314512849702486;19;665,134452245333;3
"1552";"Las_Cruces";"ASV3522";"Unique";0,000179082318323223;20;717,753392269219;3
"1553";"Las_Cruces";"ASV3536";"Other";5,24373478078416e-11;2;2132;5
"1554";"Las_Cruces";"ASV3538";"Other";0,00564555082302022;4;463,493934807835;2
"1555";"Las_Cruces";"ASV3545";"Other";1,12110776656288e-06;2;0;2
"1556";"Las_Cruces";"ASV3546";"Other";0,0124689182132718;28;5393,8464108166;2
"1557";"Las_Cruces";"ASV3550";"Other";0,288708331459365;82;9666,2755749126;6
"1558";"Las_Cruces";"ASV3555";"Unique";0,0110829208157141;24;1073,91178573954;2
"1559";"Las_Cruces";"ASV3556";"Unique";0,0003145128497025;19;665,134452245333;3
"1560";"Las_Cruces";"ASV3557";"Unique";0,022804945225791;34;3935,98005713981;2
"1561";"Las_Cruces";"ASV3558";"Unique";0,230907217712573;40;1743,58077009213;1
"1562";"Las_Cruces";"ASV3559";"Unique";0,000179082318323223;20;717,753392269219;3
"1563";"Las_Cruces";"ASV3560";"Unique";0,000154882465826795;13;0,147969156226037;3
"1564";"Las_Cruces";"ASV3561";"Unique";0,272036163422164;39;893,527300684695;6
"1565";"Las_Cruces";"ASV3562";"Unique";0,928802091988087;192;9213,60513241652;6
"1566";"Las_Cruces";"ASV3563";"Other";7,24518650826134e-09;1;0;30
"1567";"Las_Cruces";"ASV3581";"Other";9,30927981959418e-05;4;92,4254530911081;2
"1568";"Las_Cruces";"ASV3582";"Other";0,00624761077758389;52;3900,48813127882;2
