Site;ASV;Node_Category;Eigen_Centrality;Degree_Centrality;Betweenness_Centrality;Membership
Huasco;ASV0050;Core;0,000241936;20;2205,718262;1
Huasco;ASV0053;Core;0,000241936;20;2205,718262;1
Huasco;ASV0056;Core;0,005725109;25;9439,185056;1
Huasco;ASV0063;Core;7,86E-05;4;0;1
Huasco;ASV0064;Core;0,001654003;21;29,00851152;1
Huasco;ASV0071;Core;7,86E-18;1;0;72
Huasco;ASV0072;Core;0,009758033;43;13369,17346;1
Huasco;ASV0073;Core;0,004159653;31;437,1559281;1
Huasco;ASV0077;Core;2,83E-08;3;0;29
Huasco;ASV0081;Core;7,72E-18;1;0;72
Huasco;ASV0083;Core;0,009106136;36;7301,692733;1
Huasco;ASV0085;Core;0,004107159;27;394,3525288;1
Huasco;ASV0086;Core;8,45E-18;1;0;61
Huasco;ASV0097;Core;0,000138904;11;188,1110081;1
Huasco;ASV0101;Core;0,0016081;17;23595,9131;1
Huasco;ASV0102;Core;0,003899689;28;683,0533961;1
Huasco;ASV0104;Core;0,002752893;36;7760,771014;1
Huasco;ASV0107;Core;8,16E-05;8;225,3861024;1
Huasco;ASV0118;Core;0,003724437;29;431,9020251;1
Huasco;ASV0120;Core;2,83E-08;3;0;29
Huasco;ASV0127;Core;2,83E-08;3;0;29
Huasco;ASV0134;Core;0,006197812;31;1944,855896;1
Huasco;ASV0135;Core;8,98E-08;4;2162;3
Huasco;ASV0142;Core;0,002831227;38;7996,848322;1
Huasco;ASV0143;Core;0,001306658;4;7593,404898;1
Huasco;ASV0145;Core;0,006500289;31;4034,893641;1
Huasco;ASV0147;Core;0,002766118;36;6390,735404;1
Huasco;ASV0206;Core;6,55E-06;9;4052,59535;3
Huasco;ASV0210;Core;0,003300696;35;5154,00474;1
Huasco;ASV0223;Core;0,008135054;27;2224,393222;1
Huasco;ASV0238;Core;3,43E-05;2;9,670612125;1
Huasco;ASV0261;Core;0,013354004;49;44142,72968;1
Huasco;ASV0270;Core;0,001736504;5;2,329641109;1
Huasco;ASV0273;Core;0,00096826;21;3692,136855;1
Huasco;ASV0277;Core;0,005841808;43;8169,474162;1
Huasco;ASV0279;Core;0,001615986;30;10433,12287;1
Huasco;ASV0315;Core;3,01E-05;13;6943,677629;1
Huasco;ASV0382;Core;2,47E-05;22;3095,478608;3
Huasco;ASV0395;Core;2,19E-05;21;2727,13256;3
Huasco;ASV0403;Core;0,01298353;41;5016,723432;1
Huasco;ASV0442;Core;1,41E-17;2;1;50
Huasco;ASV0452;Core;4,22E-05;7;103,9244016;3
Huasco;ASV0456;Core;6,51E-07;1;0;3
Huasco;ASV0462;Core;3,74E-07;2;54,91357224;3
Huasco;ASV0510;Core;4,58E-05;6;15,19733325;1
Huasco;ASV0561;Core;0,004511202;29;982,9470015;1
Huasco;ASV0569;Core;6,51E-07;1;0;3
Huasco;ASV0631;Core;0,014139916;41;3679,778621;1
Huasco;ASV0688;Core;2,22E-08;1;0;3
Huasco;ASV0711;Core;0,0132558;37;2094,709144;1
Huasco;ASV0775;Core;4,02E-07;3;0;24
Huasco;ASV0799;Core;6,44E-18;1;0;51
Huasco;ASV0834;Core;6,32E-06;1;0;3
Huasco;ASV0838;Core;5,85E-05;1;0;3
Huasco;ASV0867;Core;1,69E-05;11;932,7124411;1
Huasco;ASV0882;Core;0,001469601;4;0,033333333;1
Huasco;ASV0932;Core;9,85E-06;3;2162;3
Huasco;ASV1079;Core;3,16E-05;11;149,8885054;1
Huasco;ASV1112;Core;1,49E-17;2;1;51
Huasco;ASV1119;Core;1,80E-05;7;105,6051988;1
Huasco;ASV1191;Core;4,02E-07;3;0;24
Huasco;ASV1207;Core;0,001891571;17;10473,42904;1
Huasco;ASV1335;Core;4,02E-07;3;0;24
Huasco;ASV1389;Core;7,93E-18;1;0;51
Huasco;ASV1403;Core;4,28E-08;1;0;3
Huasco;ASV1411;Core;1,64E-06;3;2162;3
Huasco;ASV1412;Core;7,14E-18;1;0;61
Huasco;ASV1506;Core;2,90E-05;4;6480;24
Huasco;ASV1593;Core;1,52E-05;8;0,333333333;1
Huasco;ASV1742;Core;1,21E-09;1;0;3
Huasco;ASV2590;Core;6,09E-05;13;2281,450937;3
Pta_Choros;ASV0001;Core;1,36E-06;23;3742,266727;1
Pta_Choros;ASV0003;Core;5,40E-07;23;1530,549331;1
Pta_Choros;ASV0006;Core;5,40E-07;23;1530,549331;1
